 batch,IMC_val,history_count,variance,stdv,rel_err,batch_time
58,  1.2576396E+01,1726,  1.1812558E-03,  3.4369402E-02,  2.2822665E+01,  3.9999839E-05
59,  1.2258962E+01,1743,  1.2012954E-03,  3.4659709E-02,  2.2221370E+01,  3.5000034E-05
60,  1.2166622E+01,1760,  1.2486765E-03,  3.5336618E-02,  2.2046455E+01,  2.7999980E-05
61,  1.2510484E+01,1777,  1.2370547E-03,  3.5171789E-02,  2.2697812E+01,  2.8999988E-05
62,  1.2395461E+01,1794,  1.2298691E-03,  3.5069489E-02,  2.2479930E+01,  4.2999862E-05
63,  1.2584265E+01,1811,  1.2236769E-03,  3.4981093E-02,  2.2837569E+01,  4.4000102E-05
64,  1.2390107E+01,1829,  1.2166374E-03,  3.4880330E-02,  2.2469789E+01,  3.9999839E-05
65,  1.2527860E+01,1847,  1.2057516E-03,  3.4723934E-02,  2.2730726E+01,  3.4000026E-05
66,  1.2367625E+01,1865,  1.2014758E-03,  3.4662311E-02,  2.2427202E+01,  3.5000034E-05
67,  1.2431316E+01,1883,  1.1914331E-03,  3.4517142E-02,  2.2547849E+01,  3.5000034E-05
68,  1.2530280E+01,1901,  1.1812983E-03,  3.4370020E-02,  2.2735309E+01,  3.6000041E-05
69,  1.2655642E+01,1920,  1.1847617E-03,  3.4420368E-02,  2.2972775E+01,  3.6000041E-05
70,  1.2403580E+01,1939,  1.1766286E-03,  3.4302020E-02,  2.2495309E+01,  3.7000049E-05
71,  1.2616191E+01,1958,  1.1738574E-03,  3.4261602E-02,  2.2898046E+01,  3.7000049E-05
72,  1.2374251E+01,1977,  1.1689127E-03,  3.4189365E-02,  2.2439754E+01,  3.6999816E-05
73,  1.2505507E+01,1996,  1.1579796E-03,  3.4029100E-02,  2.2688383E+01,  3.7000049E-05
74,  1.2589568E+01,2015,  1.1523402E-03,  3.3946137E-02,  2.2847616E+01,  3.7000049E-05
75,  1.2713009E+01,2035,  1.1657661E-03,  3.4143317E-02,  2.3081441E+01,  3.8999831E-05
76,  1.2398155E+01,2055,  1.1584775E-03,  3.4036414E-02,  2.2485033E+01,  3.9000064E-05
77,  1.2451526E+01,2075,  1.1479708E-03,  3.3881718E-02,  2.2586130E+01,  3.9000064E-05
78,  1.2576707E+01,2095,  1.1406814E-03,  3.3773976E-02,  2.2823252E+01,  3.8999831E-05
79,  1.2549821E+01,2115,  1.1315865E-03,  3.3639062E-02,  2.2772326E+01,  4.0000072E-05
80,  1.2595091E+01,2136,  1.1255343E-03,  3.3548984E-02,  2.2858077E+01,  4.0000072E-05
81,  1.2408527E+01,2157,  1.1177342E-03,  3.3432533E-02,  2.2504680E+01,  3.9999839E-05
82,  1.2415331E+01,2178,  1.1095225E-03,  3.3309495E-02,  2.2517569E+01,  4.1000079E-05
83,  1.2485894E+01,2199,  1.0989284E-03,  3.3150089E-02,  2.2651231E+01,  4.1000079E-05
84,  1.2527158E+01,2220,  1.0891555E-03,  3.3002356E-02,  2.2729396E+01,  6.9999835E-05
85,  1.2470611E+01,2242,  1.0786304E-03,  3.2842508E-02,  2.2622282E+01,  9.8000048E-05
86,  1.2392102E+01,2264,  1.0723172E-03,  3.2746255E-02,  2.2473568E+01,  1.0099984E-04
87,  1.2520783E+01,2286,  1.0624379E-03,  3.2595059E-02,  2.2717319E+01,  1.0100007E-04
88,  1.2038366E+01,2308,  1.1393610E-03,  3.3754422E-02,  2.1803508E+01,  1.0299985E-04
89,  1.2579329E+01,2331,  1.1319739E-03,  3.3644819E-02,  2.2828220E+01,  9.9000055E-05
90,  1.2552233E+01,2354,  1.1228071E-03,  3.3508314E-02,  2.2776893E+01,  1.0199985E-04
91,  1.2464422E+01,2377,  1.1121280E-03,  3.3348583E-02,  2.2610559E+01,  1.0400009E-04
92,  1.2493295E+01,2400,  1.1014904E-03,  3.3188709E-02,  2.2665252E+01,  1.0299985E-04
93,  1.2426855E+01,2424,  1.0919903E-03,  3.3045277E-02,  2.2539398E+01,  1.0600011E-04
94,  1.2517232E+01,2448,  1.0817003E-03,  3.2889213E-02,  2.2710594E+01,  1.0599988E-04
95,  1.2332983E+01,2472,  1.0804890E-03,  3.2870792E-02,  2.2361583E+01,  1.0800012E-04
96,  1.2425392E+01,2496,  1.0714455E-03,  3.2732943E-02,  2.2536627E+01,  4.9999915E-05
97,  1.2367971E+01,2520,  1.0664473E-03,  3.2656504E-02,  2.2427857E+01,  4.6999892E-05
98,  1.2561115E+01,2545,  1.0584063E-03,  3.2533156E-02,  2.2793718E+01,  4.7000125E-05
99,  1.2521218E+01,2570,  1.0486768E-03,  3.2383279E-02,  2.2718144E+01,  4.6999892E-05
100,  1.2418205E+01,2595,  1.0401790E-03,  3.2251807E-02,  2.2523013E+01,  4.7999900E-05
101,  1.2508888E+01,2620,  1.0305134E-03,  3.2101610E-02,  2.2694787E+01,  2.2999942E-05
102,  1.2677663E+01,2646,  1.0346065E-03,  3.2165300E-02,  2.3014488E+01,  4.8999907E-05
103,  1.2622553E+01,2672,  1.0315853E-03,  3.2118302E-02,  2.2910095E+01,  5.0000148E-05
104,  1.2368716E+01,2698,  1.0266916E-03,  3.2042028E-02,  2.2429268E+01,  4.9999915E-05
105,  1.2371522E+01,2724,  1.0215617E-03,  3.1961878E-02,  2.2434585E+01,  5.0999923E-05
106,  1.2500769E+01,2751,  1.0116356E-03,  3.1806220E-02,  2.2679409E+01,  5.1999930E-05
107,  1.2593459E+01,2778,  1.0060778E-03,  3.1718730E-02,  2.2854986E+01,  5.2000163E-05
108,  1.2674520E+01,2805,  1.0090846E-03,  3.1766092E-02,  2.3008533E+01,  5.2000163E-05
109,  1.2467319E+01,2833,  9.9923956E-04,  3.1610751E-02,  2.2616046E+01,  5.7999976E-05
110,  1.2181319E+01,2861,  1.0217362E-03,  3.1964609E-02,  2.2074295E+01,  1.1099991E-04
111,  1.2408300E+01,2889,  1.0137849E-03,  3.1839990E-02,  2.2504251E+01,  1.1399994E-04
112,  1.2383423E+01,2917,  1.0074269E-03,  3.1739989E-02,  2.2457128E+01,  5.5000186E-05
113,  1.2591215E+01,2946,  1.0015058E-03,  3.1646577E-02,  2.2850735E+01,  5.6000194E-05
114,  1.2359880E+01,2975,  9.9680628E-04,  3.1572239E-02,  2.2412532E+01,  5.5999961E-05
115,  1.2617730E+01,3004,  9.9325348E-04,  3.1515924E-02,  2.2900960E+01,  5.5999961E-05
116,  1.2582764E+01,3034,  9.8666474E-04,  3.1411220E-02,  2.2834726E+01,  5.7000201E-05
117,  1.2534812E+01,3064,  9.7783260E-04,  3.1270315E-02,  2.2743894E+01,  5.7000201E-05
118,  1.2516904E+01,3094,  9.6868366E-04,  3.1123683E-02,  2.2709973E+01,  5.8000209E-05
119,  1.2464454E+01,3124,  9.5951021E-04,  3.0975962E-02,  2.2610620E+01,  6.9000060E-05
120,  1.2431752E+01,3155,  9.5095960E-04,  3.0837633E-02,  2.2548674E+01,  1.0800012E-04
